"","uf_sigla","cod_regsaud","regiao_saude","cobertura","ano","cenario"
"1","AL","27004","4ª Região de Saúde",2.54,2023,"cenario real"
"2","AM","13005","Baixo Amazonas",0.42,2023,"cenario real"
"3","AM","13004","Médio Amazonas",1.77,2023,"cenario real"
"4","AP","16002","Área Norte",2.1,2023,"cenario real"
"5","AP","16003","Área Sudoeste",4.35,2023,"cenario real"
"6","BA","29015","Jequié",3.94,2023,"cenario real"
"7","BA","29010","Irecê",1.57,2023,"cenario real"
"8","BA","29017","Paulo Afonso",4.4,2023,"cenario real"
"9","BA","29005","Cruz das Almas",3.26,2023,"cenario real"
"10","CE","23020","20ª Região Crato",6.08,2023,"cenario real"
"11","CE","23021","21ª Região Juazeiro do Norte",12.64,2023,"cenario real"
"12","DF","53001","Distrito Federal",35.07,2023,"cenario real"
"13","ES","32005","Central Norte",21.17,2023,"cenario real"
"14","GO","52013","São Patrício I",7.93,2023,"cenario real"
"15","GO","52016","Sudoeste II",23.95,2023,"cenario real"
"16","MA","21013","Rosário",1.19,2023,"cenario real"
"17","MA","21018","Viana",0.47,2023,"cenario real"
"18","MA","21016","São Luís",22.62,2023,"cenario real"
"19","MG","31058","Unaí",14.03,2023,"cenario real"
"20","MG","31001","Alfenas / Machado",16.27,2023,"cenario real"
"21","MG","31011","Três Pontas",21.93,2023,"cenario real"
"22","MG","31020","Guanhães",9.18,2023,"cenario real"
"23","MG","31083","Bocaiúva",6.13,2023,"cenario real"
"24","MG","31049","Brasília de Minas/São Francisco",1.35,2023,"cenario real"
"25","MG","31044","Leopoldina / Cataguases",15.69,2023,"cenario real"
"26","MG","31070","Araxá",26.42,2023,"cenario real"
"27","MG","31046","Santos Dumont",25.69,2023,"cenario real"
"28","MG","31078","Congonhas",36.76,2023,"cenario real"
"29","PA","15006","Metropolitana I",25.38,2023,"cenario real"
"30","PB","25004","4ª Região",1.36,2023,"cenario real"
"31","PB","25012","12ª Região",2.06,2023,"cenario real"
"32","PR","41021","21ª RS Telêmaco Borba",18.18,2023,"cenario real"
"33","RN","24002","2ª Região de Saúde - Mossoró",16.7,2023,"cenario real"
"34","RS","43011","Região 11 - Sete Povos das Missões",9.54,2023,"cenario real"
"35","RS","43017","Região 17 - Planalto",19.85,2023,"cenario real"
"36","RS","43027","Região 27 - Jacuí Centro",6.5,2023,"cenario real"
"37","RS","43012","Região 12 - Portal das Missões",11.91,2023,"cenario real"
"38","RS","43004","Região 04 - Belas Praias",9.61,2023,"cenario real"
"39","SC","42004","Alto Vale do Itajaí",8.5,2023,"cenario real"
"40","SC","42005","Foz do Rio Itajaí",27.87,2023,"cenario real"
"41","SC","42003","Xanxerê",13.88,2023,"cenario real"
"42","SE","28005","Nossa Senhora da Glória",1.87,2023,"cenario real"
"43","SP","35133","Vale das Cachoeiras",22.3,2023,"cenario real"
"44","SP","35111","Alta Paulista",14.76,2023,"cenario real"
"45","SP","35173","Litoral Norte",18.36,2023,"cenario real"
"46","SP","35021","Central do DRS II",32.1,2023,"cenario real"
"47","SP","35011","Alto do Tietê",37.67,2023,"cenario real"
"48","SP","35012","Franco da Rocha",31.37,2023,"cenario real"
"49","SP","35074","Circuito das Águas",32.9,2023,"cenario real"
"50","SP","35132","Aquífero Guarani",46.86,2023,"cenario real"
"51","TO","17006","Capim Dourado",18.1,2023,"cenario real"
"52","AC","12003","Juruá e Tarauacá/Envira",0.94,2023,"cenario real"
"53","AL","27007","7ª Região de Saúde",5.17,2023,"cenario real"
"54","AM","13009","Alto Solimões",0.32,2023,"cenario real"
"55","AM","13002","Rio Negro e Solimões",0.52,2023,"cenario real"
"56","BA","29003","Brumado",2.64,2023,"cenario real"
"57","BA","29018","Porto Seguro",9.92,2023,"cenario real"
"58","BA","29011","Itaberaba",1.75,2023,"cenario real"
"59","BA","29022","Santo Antônio de Jesus",3.45,2023,"cenario real"
"60","BA","29008","Ibotirama",0.75,2023,"cenario real"
"61","CE","23010","10ª Região Limoeiro do Norte",6.64,2023,"cenario real"
"62","CE","23005","5ª Região Canindé",1.53,2023,"cenario real"
"63","GO","52018","São Patrício II",11.38,2023,"cenario real"
"64","TO","17002","Bico do Papagaio",1.78,2023,"cenario real"
"65","MA","21009","Itapecuru Mirim",0.93,2023,"cenario real"
"66","MA","21004","Barra do Corda",0.85,2023,"cenario real"
"67","MA","21003","Balsas",4.08,2023,"cenario real"
"68","MG","31061","Viçosa",22.46,2023,"cenario real"
"69","MG","31064","Araçuaí",2.86,2023,"cenario real"
"70","MG","31053","Januária",3.88,2023,"cenario real"
"71","MG","31051","Francisco Sá",3.48,2023,"cenario real"
"72","MG","31026","Diamantina",8.23,2023,"cenario real"
"73","MG","31084","Montes Claros",22.82,2023,"cenario real"
"74","MG","31057","Patos de Minas",25.72,2023,"cenario real"
"75","MG","31007","Pouso Alegre",27.86,2023,"cenario real"
"76","MG","31009","São Sebastião do Paraíso",17.86,2023,"cenario real"
"77","MG","31004","Lavras",22.9,2023,"cenario real"
"78","MG","31027","Turmalina/Minas Novas/Capelinha",5.34,2023,"cenario real"
"79","MG","31071","Frutal / Iturama",31.04,2023,"cenario real"
"80","MG","31019","Curvelo",14.08,2023,"cenario real"
"81","MG","31034","Caratinga",10.28,2023,"cenario real"
"82","MG","31031","Itaúna",30.49,2023,"cenario real"
"83","MG","31081","Santa Maria do Suaçuí",2.13,2023,"cenario real"
"84","MT","51005","Garças Araguaia",14.33,2023,"cenario real"
"85","PA","15008","Metropolitana III",3.35,2023,"cenario real"
"86","PA","15011","Tocantins",4.38,2023,"cenario real"
"87","PB","25007","7ª Região",1.2,2023,"cenario real"
"88","PB","25001","1ª Região Mata Atlântica",24.07,2023,"cenario real"
"89","PE","26010","Recife",28.09,2023,"cenario real"
"90","PE","26007","Ouricuri",1.52,2023,"cenario real"
"91","PE","26005","Goiana",7.09,2023,"cenario real"
"92","PR","41002","2ª RS Metropolitana",42.42,2023,"cenario real"
"93","PR","41017","17ª RS Londrina",31.41,2023,"cenario real"
"94","PR","41016","16ª RS Apucarana",14.72,2023,"cenario real"
"95","RJ","33001","Baia da Ilha Grande",17.15,2023,"cenario real"
"96","RJ","33006","Metropolitana II",31.46,2023,"cenario real"
"97","RS","43014","Região 14 - Fronteira Noroeste",13.68,2023,"cenario real"
"98","RS","43020","Região 20 - Rota da Produção",4.79,2023,"cenario real"
"99","RS","43007","Região 07 - Vale dos Sinos",29.36,2023,"cenario real"
"100","RS","43029","Região 29 - Vales e Montanhas",29.09,2023,"cenario real"
"101","RS","43018","Região 18 - Araucárias",6.72,2023,"cenario real"
"102","RS","43009","Região 09 - Carbonífera/Costa Doce",17.01,2023,"cenario real"
"103","SC","42007","Grande Florianópolis",32.67,2023,"cenario real"
"104","SC","42015","Carbonífera",24.89,2023,"cenario real"
"105","SC","42014","Extremo Sul Catarinense",10.01,2023,"cenario real"
"106","SP","35162","Itapeva",10.34,2023,"cenario real"
"107","SP","35103","Piracicaba",51.08,2023,"cenario real"
"108","SP","35113","Alto Capivari",21.09,2023,"cenario real"
"109","SP","35174","Vale do Paraíba/Região Serrana",29.47,2023,"cenario real"
"110","SP","35071","Bragança",36.74,2023,"cenario real"
"111","AC","12002","Baixo Acre e Purus",8.11,2023,"cenario real"
"112","AM","13003","Rio Madeira",0.45,2023,"cenario real"
"113","BA","29021","Santa Maria da Vitória",1.67,2023,"cenario real"
"114","CE","23015","15ª Região Crateús",2.06,2023,"cenario real"
"115","CE","23016","16ª Região Camocim",1.2,2023,"cenario real"
"116","TO","17005","Ilha do Bananal",4.79,2023,"cenario real"
"117","GO","52003","Entorno Norte",6.72,2023,"cenario real"
"118","GO","52007","Nordeste II",3.56,2023,"cenario real"
"119","GO","52014","Serra da Mesa",9.83,2023,"cenario real"
"120","MG","31002","Guaxupé",16.77,2023,"cenario real"
"121","MG","31047","São João Nepomuceno / bicas",18.17,2023,"cenario real"
"122","MG","31060","Ponte Nova",12.48,2023,"cenario real"
"123","MG","31032","Pará de Minas",30.48,2023,"cenario real"
"124","MG","31077","João Pinheiro",13.26,2023,"cenario real"
"125","MG","31068","Pedra azul",3.91,2023,"cenario real"
"126","MT","51008","Noroeste Matogrossense",3.49,2023,"cenario real"
"127","MT","51003","Araguaia Xingu",3.45,2023,"cenario real"
"128","MT","51001","Alto Tapajós",4.93,2023,"cenario real"
"129","MT","51015","Vale do Peixoto",3.99,2023,"cenario real"
"130","PB","25008","8ª Região",1.73,2023,"cenario real"
"131","PE","26004","Garanhuns",4.43,2023,"cenario real"
"132","PE","26002","Arcoverde",2.46,2023,"cenario real"
"133","PI","22009","Vale do Rio Guaribas",3.64,2023,"cenario real"
"134","PR","41015","15ª RS Maringá",39.83,2023,"cenario real"
"135","PR","41022","22ª RS Ivaiporã",6,2023,"cenario real"
"136","RJ","33003","Centro-Sul",14.22,2023,"cenario real"
"137","RJ","33004","Médio Paraíba",28.38,2023,"cenario real"
"138","RN","24006","6ª Região de Saúde - Pau dos Ferros",2.16,2023,"cenario real"
"139","RN","24003","3ª Região de Saúde - João Câmara",4.78,2023,"cenario real"
"140","RS","43019","Região 19 - Botucaraí",8.73,2023,"cenario real"
