"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2000-01-01,20220,NA,NA
"2",NA,"ACTUAL","actual",2022-11-01,14152,NA,NA
"3",NA,"ACTUAL","actual",2002-10-01,17107,NA,NA
"4",NA,"ACTUAL","actual",2008-09-01,17763,NA,NA
"5",NA,"ACTUAL","actual",2023-05-01,15944,NA,NA
"6",NA,"ACTUAL","actual",2012-05-01,19858,NA,NA
"7",NA,"ACTUAL","actual",2021-11-01,15011,NA,NA
"8",NA,"ACTUAL","actual",2001-09-01,18801,NA,NA
"9",NA,"ACTUAL","actual",2008-12-01,18118,NA,NA
"10",NA,"ACTUAL","actual",2012-03-01,21293,NA,NA
"11",NA,"ACTUAL","actual",2005-02-01,17951,NA,NA
"12",NA,"ACTUAL","actual",2018-01-01,19905,NA,NA
"13",NA,"ACTUAL","actual",2017-11-01,17206,NA,NA
"14",NA,"ACTUAL","actual",2007-01-01,18489,NA,NA
"15",NA,"ACTUAL","actual",2005-09-01,17566,NA,NA
"16",NA,"ACTUAL","actual",2005-01-01,18430,NA,NA
"17",NA,"ACTUAL","actual",2022-10-01,13346,NA,NA
"18",NA,"ACTUAL","actual",2015-06-01,19883,NA,NA
"19",NA,"ACTUAL","actual",2011-03-01,21657,NA,NA
"20",NA,"ACTUAL","actual",2010-08-01,16756,NA,NA
"21",NA,"ACTUAL","actual",2016-11-01,15145,NA,NA
"22",NA,"ACTUAL","actual",2009-01-01,18628,NA,NA
"23",NA,"ACTUAL","actual",2000-11-01,18959,NA,NA
"24",NA,"ACTUAL","actual",2005-11-01,16416,NA,NA
"25",NA,"ACTUAL","actual",2014-12-01,19589,NA,NA
"26",NA,"ACTUAL","actual",2016-01-01,19805,NA,NA
"27",NA,"ACTUAL","actual",2012-09-01,17786,NA,NA
"28",NA,"ACTUAL","actual",2011-07-01,18656,NA,NA
"29",NA,"ACTUAL","actual",2006-04-01,19822,NA,NA
"30",NA,"ACTUAL","actual",2001-11-01,17628,NA,NA
"31",NA,"ACTUAL","actual",2012-01-01,18152,NA,NA
"32",NA,"ACTUAL","actual",2017-02-01,17444,NA,NA
"33",NA,"ACTUAL","actual",2008-11-01,16232,NA,NA
"34",NA,"ACTUAL","actual",2022-02-01,15288,NA,NA
"35",NA,"ACTUAL","actual",2007-07-01,18301,NA,NA
"36",NA,"ACTUAL","actual",2020-03-01,18377,NA,NA
"37",NA,"ACTUAL","actual",2023-06-01,15358,NA,NA
"38",NA,"ACTUAL","actual",2009-12-01,17094,NA,NA
