"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2012-03-01,6373,NA,NA
"2",NA,"ACTUAL","actual",2003-06-01,5796,NA,NA
"3",NA,"ACTUAL","actual",2000-01-01,5671,NA,NA
"4",NA,"ACTUAL","actual",2004-08-01,5896,NA,NA
"5",NA,"ACTUAL","actual",2022-10-01,5760,NA,NA
"6",NA,"ACTUAL","actual",2011-03-01,6502,NA,NA
"7",NA,"ACTUAL","actual",2022-05-01,6179,NA,NA
"8",NA,"ACTUAL","actual",2024-02-01,5033,NA,NA
"9",NA,"ACTUAL","actual",2008-12-01,6462,NA,NA
"10",NA,"ACTUAL","actual",2011-06-01,5981,NA,NA
"11",NA,"ACTUAL","actual",2007-10-01,6295,NA,NA
"12",NA,"ACTUAL","actual",2015-08-01,6719,NA,NA
"13",NA,"ACTUAL","actual",2016-10-01,6402,NA,NA
"14",NA,"ACTUAL","actual",2020-01-01,6456,NA,NA
"15",NA,"ACTUAL","actual",2017-07-01,6376,NA,NA
"16",NA,"ACTUAL","actual",2022-02-01,5692,NA,NA
"17",NA,"ACTUAL","actual",2008-03-01,6429,NA,NA
"18",NA,"ACTUAL","actual",2011-11-01,6645,NA,NA
"19",NA,"ACTUAL","actual",2020-03-01,6572,NA,NA
"20",NA,"ACTUAL","actual",2011-02-01,5695,NA,NA
"21",NA,"ACTUAL","actual",2023-07-01,5805,NA,NA
"22",NA,"ACTUAL","actual",2008-05-01,6224,NA,NA
"23",NA,"ACTUAL","actual",2001-08-01,5724,NA,NA
"24",NA,"ACTUAL","actual",2010-02-01,5979,NA,NA
"25",NA,"ACTUAL","actual",2000-10-01,6096,NA,NA
"26",NA,"ACTUAL","actual",2021-04-01,6402,NA,NA
"27",NA,"ACTUAL","actual",2023-06-01,5510,NA,NA
"28",NA,"ACTUAL","actual",2007-07-01,5869,NA,NA
"29",NA,"ACTUAL","actual",2009-01-01,6360,NA,NA
"30",NA,"ACTUAL","actual",2018-01-01,6583,NA,NA
"31",NA,"ACTUAL","actual",2001-07-01,5743,NA,NA
"32",NA,"ACTUAL","actual",2005-05-01,6384,NA,NA
"33",NA,"ACTUAL","actual",2017-03-01,6553,NA,NA
"34",NA,"ACTUAL","actual",2008-10-01,6601,NA,NA
"35",NA,"ACTUAL","actual",2016-02-01,6243,NA,NA
"36",NA,"ACTUAL","actual",2014-10-01,7160,NA,NA
"37",NA,"ACTUAL","actual",2019-03-01,6573,NA,NA
"38",NA,"ACTUAL","actual",2010-05-01,5904,NA,NA
"39",NA,"ACTUAL","actual",2018-04-01,6556,NA,NA
"40",NA,"ACTUAL","actual",2013-07-01,6530,NA,NA
"41",NA,"ACTUAL","actual",2021-05-01,6614,NA,NA
"42",NA,"ACTUAL","actual",2011-08-01,6508,NA,NA
"43",NA,"ACTUAL","actual",2011-12-01,6623,NA,NA
"44",NA,"ACTUAL","actual",2010-12-01,6047,NA,NA
"45",NA,"ACTUAL","actual",2024-04-01,5222,NA,NA
"46",NA,"ACTUAL","actual",2002-01-01,6208,NA,NA
"47",NA,"ACTUAL","actual",2006-12-01,6163,NA,NA
"48",NA,"ACTUAL","actual",2015-07-01,6634,NA,NA
"49",NA,"ACTUAL","actual",2010-04-01,6207,NA,NA
"50",NA,"ACTUAL","actual",2011-05-01,6341,NA,NA
"51",NA,"ACTUAL","actual",2009-07-01,6264,NA,NA
"52",NA,"ACTUAL","actual",2001-12-01,6021,NA,NA
"53",NA,"ACTUAL","actual",2016-04-01,6235,NA,NA
"54",NA,"ACTUAL","actual",2006-02-01,5753,NA,NA
"55",NA,"ACTUAL","actual",2000-12-01,5361,NA,NA
"56",NA,"ACTUAL","actual",2017-09-01,6776,NA,NA
"57",NA,"ACTUAL","actual",2017-10-01,6901,NA,NA
"58",NA,"ACTUAL","actual",2019-05-01,6311,NA,NA
"59",NA,"ACTUAL","actual",2007-03-01,6531,NA,NA
"60",NA,"ACTUAL","actual",2020-06-01,6018,NA,NA
"61",NA,"ACTUAL","actual",2014-12-01,6890,NA,NA
"62",NA,"ACTUAL","actual",2011-07-01,6174,NA,NA
"63",NA,"ACTUAL","actual",2009-06-01,6121,NA,NA
"64",NA,"ACTUAL","actual",2019-07-01,6268,NA,NA
"65",NA,"ACTUAL","actual",2012-01-01,6609,NA,NA
"66",NA,"ACTUAL","actual",2021-11-01,6632,NA,NA
"67",NA,"ACTUAL","actual",2008-09-01,6850,NA,NA
"68",NA,"ACTUAL","actual",2006-08-01,6425,NA,NA
"69",NA,"ACTUAL","actual",2015-05-01,6784,NA,NA
"70",NA,"ACTUAL","actual",2018-11-01,6632,NA,NA
"71",NA,"ACTUAL","actual",2015-10-01,6941,NA,NA
"72",NA,"ACTUAL","actual",2013-02-01,6002,NA,NA
"73",NA,"ACTUAL","actual",2023-04-01,5640,NA,NA
"74",NA,"ACTUAL","actual",2023-11-01,5969,NA,NA
"75",NA,"ACTUAL","actual",2002-10-01,6096,NA,NA
"76",NA,"ACTUAL","actual",2017-08-01,6487,NA,NA
"77",NA,"ACTUAL","actual",2024-06-01,5125,NA,NA
"78",NA,"ACTUAL","actual",2022-01-01,6683,NA,NA
"79",NA,"ACTUAL","actual",2009-11-01,6422,NA,NA
"80",NA,"ACTUAL","actual",2002-04-01,5966,NA,NA
"81",NA,"ACTUAL","actual",2005-11-01,5989,NA,NA
"82",NA,"ACTUAL","actual",2004-01-01,6232,NA,NA
"83",NA,"ACTUAL","actual",2010-08-01,6050,NA,NA
"84",NA,"ACTUAL","actual",2016-01-01,6764,NA,NA
"85",NA,"ACTUAL","actual",2012-05-01,6286,NA,NA
"86",NA,"ACTUAL","actual",2008-04-01,6182,NA,NA
"87",NA,"ACTUAL","actual",2003-11-01,5811,NA,NA
"88",NA,"ACTUAL","actual",2002-06-01,5611,NA,NA
"89",NA,"ACTUAL","actual",2008-11-01,6231,NA,NA
"90",NA,"ACTUAL","actual",2004-04-01,5850,NA,NA
"91",NA,"ACTUAL","actual",2017-04-01,6360,NA,NA
"92",NA,"ACTUAL","actual",2019-08-01,6698,NA,NA
"93",NA,"ACTUAL","actual",2014-07-01,6676,NA,NA
"94",NA,"ACTUAL","actual",2006-06-01,6132,NA,NA
"95",NA,"ACTUAL","actual",2004-05-01,5908,NA,NA
"96",NA,"ACTUAL","actual",2019-09-01,7165,NA,NA
"97",NA,"ACTUAL","actual",2001-11-01,6371,NA,NA
"98",NA,"ACTUAL","actual",2012-07-01,6288,NA,NA
"99",NA,"ACTUAL","actual",2022-12-01,6394,NA,NA
"100",NA,"ACTUAL","actual",2009-03-01,6507,NA,NA
"101",NA,"ACTUAL","actual",2004-07-01,5932,NA,NA
"102",NA,"ACTUAL","actual",2020-02-01,6224,NA,NA
"103",NA,"ACTUAL","actual",2021-12-01,6733,NA,NA
"104",NA,"ACTUAL","actual",2021-01-01,6252,NA,NA
"105",NA,"ACTUAL","actual",2017-01-01,6444,NA,NA
"106",NA,"ACTUAL","actual",2014-09-01,6968,NA,NA
"107",NA,"ACTUAL","actual",2018-09-01,6824,NA,NA
"108",NA,"ACTUAL","actual",2018-08-01,6678,NA,NA
"109",NA,"ACTUAL","actual",2023-03-01,6026,NA,NA
"110",NA,"ACTUAL","actual",2003-01-01,6163,NA,NA
"111",NA,"ACTUAL","actual",2014-11-01,6847,NA,NA
"112",NA,"ACTUAL","actual",2005-08-01,6095,NA,NA
"113",NA,"ACTUAL","actual",2002-05-01,5953,NA,NA
"114",NA,"ACTUAL","actual",2011-09-01,6482,NA,NA
"115",NA,"ACTUAL","actual",2016-09-01,6507,NA,NA
"116",NA,"ACTUAL","actual",2024-01-01,5607,NA,NA
"117",NA,"ACTUAL","actual",2022-09-01,5544,NA,NA
