"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2000-05-01,5092,NA,NA
"2",NA,"ACTUAL","actual",2010-04-01,4214,NA,NA
"3",NA,"ACTUAL","actual",2011-05-01,4674,NA,NA
"4",NA,"ACTUAL","actual",2003-03-01,4803,NA,NA
"5",NA,"ACTUAL","actual",2006-03-01,4545,NA,NA
"6",NA,"ACTUAL","actual",2016-08-01,3783,NA,NA
"7",NA,"ACTUAL","actual",2022-09-01,3053,NA,NA
"8",NA,"ACTUAL","actual",2006-12-01,3613,NA,NA
"9",NA,"ACTUAL","actual",2000-10-01,4741,NA,NA
"10",NA,"ACTUAL","actual",2008-09-01,4015,NA,NA
"11",NA,"ACTUAL","actual",2003-07-01,4414,NA,NA
"12",NA,"ACTUAL","actual",2002-07-01,4533,NA,NA
"13",NA,"ACTUAL","actual",2004-02-01,3877,NA,NA
"14",NA,"ACTUAL","actual",2019-01-01,3896,NA,NA
"15",NA,"ACTUAL","actual",2013-05-01,4293,NA,NA
"16",NA,"ACTUAL","actual",2006-04-01,4638,NA,NA
"17",NA,"ACTUAL","actual",2002-06-01,4456,NA,NA
"18",NA,"ACTUAL","actual",2022-03-01,3676,NA,NA
"19",NA,"ACTUAL","actual",2018-03-01,4355,NA,NA
"20",NA,"ACTUAL","actual",2013-11-01,3647,NA,NA
"21",NA,"ACTUAL","actual",2014-12-01,3941,NA,NA
"22",NA,"ACTUAL","actual",2002-11-01,3864,NA,NA
"23",NA,"ACTUAL","actual",2024-05-01,3341,NA,NA
"24",NA,"ACTUAL","actual",2011-03-01,4446,NA,NA
"25",NA,"ACTUAL","actual",2007-06-01,4286,NA,NA
"26",NA,"ACTUAL","actual",2006-02-01,3603,NA,NA
"27",NA,"ACTUAL","actual",2001-09-01,4492,NA,NA
"28",NA,"ACTUAL","actual",2013-03-01,4208,NA,NA
"29",NA,"ACTUAL","actual",2012-02-01,3891,NA,NA
"30",NA,"ACTUAL","actual",2023-10-01,3215,NA,NA
"31",NA,"ACTUAL","actual",2018-04-01,4346,NA,NA
"32",NA,"ACTUAL","actual",2012-09-01,3658,NA,NA
"33",NA,"ACTUAL","actual",2022-02-01,3223,NA,NA
"34",NA,"ACTUAL","actual",2006-07-01,3839,NA,NA
"35",NA,"ACTUAL","actual",2006-05-01,4624,NA,NA
"36",NA,"ACTUAL","actual",2010-08-01,4097,NA,NA
"37",NA,"ACTUAL","actual",2023-09-01,3089,NA,NA
"38",NA,"ACTUAL","actual",2012-01-01,3771,NA,NA
"39",NA,"ACTUAL","actual",2015-05-01,4431,NA,NA
"40",NA,"ACTUAL","actual",2012-12-01,3783,NA,NA
"41",NA,"ACTUAL","actual",2024-02-01,2743,NA,NA
"42",NA,"ACTUAL","actual",2002-09-01,4356,NA,NA
