"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2012-07-01,861,NA,NA
"2",NA,"ACTUAL","actual",2009-09-01,862,NA,NA
"3",NA,"ACTUAL","actual",2002-11-01,830,NA,NA
"4",NA,"ACTUAL","actual",2020-05-01,1147,NA,NA
"5",NA,"ACTUAL","actual",2011-12-01,930,NA,NA
"6",NA,"ACTUAL","actual",2002-09-01,730,NA,NA
"7",NA,"ACTUAL","actual",2012-03-01,889,NA,NA
"8",NA,"ACTUAL","actual",2002-05-01,808,NA,NA
"9",NA,"ACTUAL","actual",2005-06-01,788,NA,NA
"10",NA,"ACTUAL","actual",2011-03-01,777,NA,NA
"11",NA,"ACTUAL","actual",2005-04-01,876,NA,NA
"12",NA,"ACTUAL","actual",2007-04-01,764,NA,NA
"13",NA,"ACTUAL","actual",2010-11-01,804,NA,NA
"14",NA,"ACTUAL","actual",2017-04-01,931,NA,NA
"15",NA,"ACTUAL","actual",2004-04-01,786,NA,NA
"16",NA,"ACTUAL","actual",2024-04-01,876,NA,NA
"17",NA,"ACTUAL","actual",2013-08-01,841,NA,NA
"18",NA,"ACTUAL","actual",2015-11-01,932,NA,NA
"19",NA,"ACTUAL","actual",2012-04-01,851,NA,NA
"20",NA,"ACTUAL","actual",2007-07-01,738,NA,NA
"21",NA,"ACTUAL","actual",2016-08-01,988,NA,NA
"22",NA,"ACTUAL","actual",2003-11-01,891,NA,NA
"23",NA,"ACTUAL","actual",2002-10-01,777,NA,NA
"24",NA,"ACTUAL","actual",2016-03-01,956,NA,NA
"25",NA,"ACTUAL","actual",2010-02-01,719,NA,NA
"26",NA,"ACTUAL","actual",2001-10-01,884,NA,NA
"27",NA,"ACTUAL","actual",2003-01-01,867,NA,NA
"28",NA,"ACTUAL","actual",2009-12-01,713,NA,NA
"29",NA,"ACTUAL","actual",2012-02-01,811,NA,NA
"30",NA,"ACTUAL","actual",2015-10-01,1045,NA,NA
"31",NA,"ACTUAL","actual",2006-10-01,833,NA,NA
"32",NA,"ACTUAL","actual",2012-08-01,898,NA,NA
"33",NA,"ACTUAL","actual",2011-11-01,887,NA,NA
"34",NA,"ACTUAL","actual",2015-06-01,930,NA,NA
"35",NA,"ACTUAL","actual",2023-02-01,1089,NA,NA
"36",NA,"ACTUAL","actual",2011-09-01,884,NA,NA
"37",NA,"ACTUAL","actual",2014-03-01,888,NA,NA
"38",NA,"ACTUAL","actual",2013-07-01,861,NA,NA
"39",NA,"ACTUAL","actual",2011-01-01,877,NA,NA
